id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
4524,825,Visa,Debit,4344676511950444,44896,623,Yes,2,24295,37500,2008,No
2731,825,Visa,Debit,4956965974959986,44166,393,Yes,2,21968,41730,2014,No
3701,825,Visa,Debit,4582313478255491,45323,719,Yes,2,46414,37803,2004,No
42,825,Visa,Credit,4879494103069057,45505,693,No,1,12400,37622,2012,No
4659,825,Mastercard,Debit (Prepaid),5722874738736011,39873,75,Yes,1,28,39692,2009,No
4537,1746,Visa,Credit,4404898874682993,37865,736,Yes,1,27500,37865,2012,No
1278,1746,Visa,Debit,4001482973848631,44743,972,Yes,2,28508,40575,2011,No
3687,1746,Mastercard,Debit,5627220683410948,44713,48,Yes,2,9022,37803,2015,No
3465,1746,Mastercard,Debit (Prepaid),5711382187309326,44136,722,Yes,2,54,40330,2015,No
3754,1746,Mastercard,Debit (Prepaid),5766121508358701,44958,908,Yes,1,99,38899,2012,No
5144,1718,Mastercard,Debit,5495199163052054,44621,677,Yes,2,31599,40087,2009,No
2029,1718,Mastercard,Debit,5804499644308599,45108,258,No,2,27480,37316,2008,No
2379,1718,Mastercard,Debit,5766352389579834,43862,992,Yes,1,26743,43525,2019,No
2732,1718,Visa,Debit,4242015583697294,43983,928,Yes,1,31463,41730,2014,No
4706,1718,Mastercard,Debit,5191030913182493,45444,360,Yes,1,16055,40057,2009,No
281,708,Visa,Credit,4017261190134817,42125,877,Yes,2,98100,40544,2011,No
1106,708,Mastercard,Debit (Prepaid),5581970288727991,43983,448,Yes,1,62,39114,2007,No
5621,708,Visa,Debit,4032240655674503,44713,53,Yes,1,132439,40483,2011,No
5165,708,Visa,Debit,4935974646456357,43983,649,Yes,1,125723,40087,2010,No
5757,1164,Mastercard,Debit,5905027855347659,44562,886,Yes,1,34900,36495,2012,No
27,68,Visa,Credit,4099623033306950,44440,74,Yes,2,9900,37257,2019,No
4648,68,Visa,Debit,4281200324251212,41456,865,Yes,2,21587,39326,2007,No
5435,68,Visa,Credit,4411456925570768,44866,922,Yes,2,15800,38657,2011,No
3287,1075,Mastercard,Debit,5202477865497336,44652,861,Yes,1,29964,38504,2014,No
4761,1075,Mastercard,Credit,5089768442116305,45108,686,Yes,2,11200,40422,2010,No
5286,1075,Mastercard,Debit,5767339719294372,44531,669,No,2,26753,41913,2014,No
744,1711,Visa,Debit,4595831603224644,45047,689,No,2,17480,43831,2020,No
5559,1116,Mastercard,Debit,5341049613275152,44440,396,Yes,2,26546,40118,2009,No
4905,1116,Mastercard,Debit,5668831527649353,44197,356,Yes,1,23253,42979,2017,No
79,1116,Visa,Credit,4400056931148232,44228,497,Yes,1,16100,38353,2014,No
301,1116,Visa,Credit,4808554251869440,44228,921,Yes,2,8700,40909,2012,No
3115,1116,Mastercard,Debit,5224739362243611,43466,922,Yes,1,29333,41030,2012,No
3880,1752,Mastercard,Debit,5294178176133532,45474,265,Yes,2,9496,39995,2012,No
1766,192,Visa,Debit,4857799018106614,44378,930,Yes,1,25499,43862,2020,No
1767,192,Visa,Debit,4324062360619923,43862,358,Yes,1,18641,43862,2020,No
745,640,Visa,Debit,4852639114720724,45047,995,Yes,1,26019,43831,2020,No
1459,1679,Mastercard,Debit,5656383455895230,44197,547,Yes,1,25845,43862,2020,No
138,1094,Visa,Debit,4556928160477229,45078,64,Yes,2,2365,39083,2009,No
3755,1094,Mastercard,Debit,5515782790823587,45078,419,Yes,2,18684,38899,2017,No
1768,1094,Visa,Credit,4508388296516458,44228,364,No,2,7400,43862,2020,No
5924,1590,Mastercard,Debit,5548265564669334,45627,145,Yes,2,4147,39783,2016,No
6074,1660,Visa,Debit (Prepaid),4986270376099447,44652,385,Yes,1,76,41244,2012,No
5923,1660,Discover,Credit,6726060094896113,39814,105,No,1,4700,39783,2014,No
4223,1660,Visa,Credit,4157109762296149,44348,433,Yes,2,5800,39295,2011,No
4455,1660,Mastercard,Debit,5231462717450524,45352,754,Yes,2,12082,42583,2016,No
3234,1660,Mastercard,Credit,5074836567307562,44986,741,No,2,6000,37408,2010,No
1005,1660,Visa,Debit,4986369179342271,40118,367,Yes,1,620,37288,2014,No
151,1747,Mastercard,Debit,5892013969159900,44774,879,Yes,1,14499,39448,2008,No
4198,1747,Mastercard,Debit,5179157151686144,45108,457,Yes,2,12332,39295,2009,No
4403,1747,Mastercard,Debit,5569640141329524,45536,904,Yes,1,18424,41487,2013,No
4120,1747,Visa,Credit,4708914311449293,45108,149,No,1,15400,37834,2008,No
4224,1747,Visa,Debit,4795724941278913,44593,136,Yes,2,14548,39295,2013,No
4895,1747,Mastercard,Credit,5300159511214994,42705,740,Yes,2,10100,42614,2016,No
1028,153,Discover,Credit,6580244636542196,40634,416,Yes,1,11200,38018,2008,No
5956,153,Mastercard,Debit,5032457975030967,45566,240,Yes,2,20291,40148,2011,No
107,153,Visa,Debit,4382324870900908,43313,852,Yes,1,32092,38718,2010,No
440,153,Mastercard,Debit,5456808094753905,43862,217,Yes,1,20463,43831,2020,No
746,429,Visa,Debit,4465362453388909,44774,738,Yes,1,15802,43831,2020,No
1769,429,Visa,Debit,4668447208616693,43862,314,No,2,4612,43862,2020,No
421,429,Discover,Credit,6377595394803324,44013,675,Yes,2,19900,43831,2020,No
974,511,Mastercard,Debit (Prepaid),5117090980312402,44105,42,Yes,1,73,36557,2012,No
4707,511,Mastercard,Debit,5377858405611171,45292,24,Yes,1,11858,40057,2010,No
7,511,Mastercard,Debit,5585238056278288,38412,749,Yes,1,9664,35796,2011,No
2212,511,Mastercard,Debit,5355281784290567,43983,810,Yes,1,8367,39873,2009,No
1038,511,Visa,Credit,4150093118072730,44713,135,Yes,2,6100,38018,2009,No
1460,309,Mastercard,Debit,5979295728871785,43862,630,Yes,3,9944,43862,2020,No
747,309,Visa,Credit,4473643731469839,43831,771,Yes,1,7900,43831,2020,No
1770,309,Visa,Credit,4800116569994473,44166,201,Yes,1,5600,43862,2020,No
748,777,Visa,Debit,4832328468851061,45139,580,Yes,1,68400,43831,2020,No
441,777,Mastercard,Debit,5278075482033392,45017,437,Yes,2,77237,43831,2020,No
3679,1946,Visa,Debit,4869845530765333,45505,701,Yes,2,4488,37438,2015,No
